Asset Id;Name;IP Addresses;Modules;OS;Last Logged-In User;Last Inventory;Activity;NetBIOS Name;Sources;Tags
19455926;SPRDAPVPXGRU04.gru.local;0.0.0.0,0.0.0.0,172.31.50.178;VM,SCA,PM,CSAM;Windows Microsoft Windows Server 2012 R2 Standard 6.3.9600 Build 9600;gru.local\adm-welison.araujo;20 Feb 2025 11:29AM GMT-0300;Manifest Downloaded;SPRDAPVPXGRU04;Cloud Agent;Cloud Agent, GRU_ACN_5-Catastrofico, GRU-GERAL, GRU_CAT_ACN-BCBP
114124900;SPRDAPMETGRU03.gru.local;0.0.0.0,10.36.52.29;VM,SCA,PM,CSAM;Windows Microsoft Windows Server 2008 R2 Enterprise 6.1.1130 Service Pack 1 Build 1130;'-;15 May 2025 05:49AM GMT-0300;VM Manifest Downloaded;SPRDAPMETGRU03;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
24571866;SPRDAPWSGRU02.gru.local;172.31.50.59;VM,SCA,PM,CSAM;Microsoft Windows Server 2016 Datacenter 10.0.14393 64-bit N/A Build 14393 UBR 7969;GRU\washington.silva;16 May 2025 03:32AM GMT-0300;Inventory Scan Complete;SPRDAPWSGRU02;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193152307;172.31.52.142;172.31.52.142;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152305;172.31.52.205;172.31.52.205;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152311;172.31.52.56;172.31.52.56;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152309;10.36.52.167;10.36.52.167;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152315;172.31.52.23;172.31.52.23;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152318;172.31.52.19;172.31.52.19;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152322;172.31.52.94;172.31.52.94;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152321;shomsqlgru09.gru.local;10.36.52.210;VM,CSAM;Windows 2016/2019/10;'-;'-;Scanned;SHOMSQLGRU09;;AG_GRU_Homologação
20097014;SPRDSHPINTGRU01.gru.local;172.31.49.241;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 20778;gru.local\adm-thiago.pereira;16 May 2025 03:53AM GMT-0300;Inventory Scan Complete;SPRDSHPINTGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193152326;10.36.52.231;10.36.52.231;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193152324;shomdcgru01.gru.local;10.36.52.221;VM,CSAM;Windows 2016;'-;'-;Scanned;SHOMDCGRU01;;AG_GRU_Homologação
193144136;10.36.52.129;10.36.52.129;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193144142;10.36.52.92;10.36.52.92;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193144146;172.31.52.253;172.31.52.253;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193144144;10.36.52.254;10.36.52.254;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193144151;10.36.52.169;10.36.52.169;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
82385470;SPRDAPPOSTGRU01;172.31.49.13;VM,SCA,PM,CSAM;Red Hat Enterprise Linux 8.10;sysgru;15 May 2025 09:57PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193144157;172.31.52.167;172.31.52.167;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
20293585;SPRDAPHSEGRU01.gru.local;172.31.49.22,fe80:0:0:0:48de:5679:801e:a65e;VM,SCA,PM,CSAM;Microsoft Windows Server 2016 Datacenter 10.0.14393 64-bit N/A Build 14393 UBR 6452;GRU\sistemas.gru;16 May 2025 05:27AM GMT-0300;Inventory Scan Complete;SPRDAPHSEGRU01;Cloud Agent;Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-GPA
193144167;172.31.52.34;172.31.52.34;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193144166;172.31.52.173;172.31.52.173;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
20293592;SPRDAPHSEGRU02.gru.local;192.168.0.38,192.168.0.71;VM,SCA,PM,CSAM;Microsoft Windows Server 2016 Datacenter 10.0.14393 64-bit N/A Build 14393 UBR 2273;GRU\adm-rafael.prado;16 May 2025 07:30AM GMT-0300;Inventory Scan Complete;SPRDAPHSEGRU02;Cloud Agent;Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-GPA
20312004;SPRDAPEGTGRU04.gru.local;172.31.49.63;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 Datacenter 6.2.9200 64-bit N/A Build 9200 UBR 23255;gru.local\svc-egate;16 May 2025 01:51PM GMT-0300;Inventory Scan Complete;SPRDAPEGTGRU04;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-EGATE
193226102;172.31.52.30;172.31.52.30;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193142138;172.31.52.139;172.31.52.139;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193174905;10.36.52.125;10.36.52.125;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193226110;10.36.52.164;10.36.52.164;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
